Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
23.1.0.7-23.1.1.1-52232-80-6,23.1.0.7,52232,23.1.1.1,80,6,22/05/2021 03:50:47 ����,370382.0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.49957611,92595.5,70477.87342,151480.0,221.0,370382.0,123460.6667,111892.829,218681.0,221.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,32,10.79966089,2.699915223,0.0,0.0,0.0,0.0,0.0,0,0,4,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,501,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HTTP-Flood
23.1.0.7-23.1.1.1-40422-80-6,23.1.0.7,40422,23.1.1.1,80,6,22/05/2021 03:45:53 ����,165.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12121.21212,165.0,0.0,165.0,165.0,165.0,165.0,0.0,165.0,165.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,12121.21212,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,501,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HTTP-Flood
23.1.0.7-23.1.1.1-56246-80-6,23.1.0.7,56246,23.1.1.1,80,6,22/05/2021 03:51:07 ����,8131874.0,12,6,317.0,11192.0,317.0,0.0,26.41666667,91.51001767,2896.0,0.0,1865.333333,1452.835389,1415.294925,2.213511916,478345.5294,1077908.388,4183224.0,4.0,8131874.0,739261.2727,1299640.777,4183224.0,4.0,7460786.0,1492157.2,3160073.771,7139626.0,239.0,0,0,0,0,380,208,1.475674611,0.737837305,0.0,2896.0,605.7368421,1168.083133,1364418.205,0,6,4,2,11,0,0,0,0.0,639.3888889,26.41666667,1865.333333,0.0,0.0,0.0,11509.0,5.0,63492.0,0.0,17.0,0.0,621.0,64240,501,1,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HTTP-Flood
23.1.1.1-23.1.0.7-80-44856-6,23.1.1.1,80,23.1.0.7,44856,6,22/05/2021 03:46:29 ����,605817.0,8,2,11192.0,348.0,2896.0,0.0,1399.0,1347.732487,348.0,0.0,174.0,246.0731599,19048.65661,16.50663484,67313.0,107371.1364,275591.0,10.0,605817.0,86545.28571,179804.2804,480596.0,10.0,993.0,993.0,0.0,993.0,993.0,0,0,0,0,272,64,13.20530787,3.301326968,0.0,2896.0,1049.090909,1280.112609,1638688.291,1,2,0,2,9,0,0,0,0.0,1154.0,1399.0,174.0,0.0,0.0,0.0,11540.0,6.0,41724.0,0.0,1119.0,0.0,34.0,64240,502,5,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HTTP-Flood
23.1.0.7-23.1.1.1-48980-80-6,23.1.0.7,48980,23.1.1.1,80,6,22/05/2021 03:47:32 ����,48488.0,6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.7419568,9697.6,21664.92757,48453.0,5.0,48488.0,9697.6,21664.92757,48453.0,5.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,168,0,123.7419568,0.0,0.0,0.0,0.0,0.0,0.0,0,0,3,0,4,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,501,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HTTP-Flood
23.1.0.7-23.1.1.1-52416-80-6,23.1.0.7,52416,23.1.1.1,80,6,22/05/2021 03:39:36 ����,78162.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.17576316,26054.0,45116.45948,78150.0,4.0,78162.0,26054.0,45116.45948,78150.0,4.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,80,0,51.17576316,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HTTP-Flood
23.1.0.7-23.1.1.1-33576-80-6,23.1.0.7,33576,23.1.1.1,80,6,22/05/2021 03:52:08 ����,1459736.0,4,6,314.0,11192.0,314.0,0.0,78.5,157.0,2896.0,0.0,1865.333333,1127.851527,7882.247201,6.850553799,162192.8889,332030.0948,1030263.0,4.0,1270630.0,423543.3333,539003.4115,1030263.0,4.0,343741.0,68748.2,137203.4457,313107.0,232.0,0,0,0,0,144,200,2.74022152,4.110332279,0.0,2896.0,1046.0,1236.946886,1530037.6,1,3,0,2,8,0,0,0,1.0,1150.6,78.5,1865.333333,0.0,0.0,0.0,11506.0,6.0,60844.0,0.0,31.0,0.0,1119.0,64240,507,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HTTP-Flood
23.1.0.7-23.1.1.1-53590-80-6,23.1.0.7,53590,23.1.1.1,80,6,22/05/2021 03:50:47 ����,3561223.0,5,7,323.0,11192.0,323.0,0.0,64.6,144.44999130000005,2896.0,0.0,1598.857143,1247.84126,3233.439748,3.369628917,323747.5455,641192.4509,2061044.0,230.0,3310876.0,827719.0,916229.4563,2061044.0,709.0,424649.0,70774.83333,152082.4865,379094.0,230.0,0,0,0,0,184,232,1.404012049,1.965616868,0.0,2896.0,885.7692308000003,1195.190093,1428479.3590000004,1,4,0,2,9,0,0,0,1.0,959.5833332999996,64.6,1598.857143,0.0,0.0,0.0,11515.0,6.0,45996.0,0.0,26.0,0.0,932.0,64240,507,1,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HTTP-Flood
23.1.0.7-23.1.1.1-57618-80-6,23.1.0.7,57618,23.1.1.1,80,6,22/05/2021 03:40:18 ����,3685612.0,4,2,602.0,1056.0,301.0,0.0,150.5,173.782431,1056.0,0.0,528.0,746.7047609,449.8574457,1.627952156,737122.4,918467.5669,2260489.0,210.0,3172000.0,1057333.333,1137193.638,2260489.0,210.0,2841223.0,2841223.0,0.0,2841223.0,2841223.0,0,0,0,0,136,72,1.085301437,0.542650719,0.0,1056.0,236.8571429,388.0783549,150604.8095,1,2,0,3,5,0,0,0,0.0,276.3333333,150.5,528.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,176.0,64240,501,2,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HTTP-Flood
23.1.1.1-23.1.0.7-80-48778-6,23.1.1.1,80,23.1.0.7,48778,6,22/05/2021 03:47:28 ����,460556.0,6,2,11192.0,305.0,4344.0,0.0,1865.333333,1717.3852989999998,305.0,0.0,152.5,215.66756830000003,24963.30522,17.37030893,65793.71429,89602.92743,205935.0,8.0,460556.0,92111.2,125713.1823,251440.0,234.0,8.0,8.0,0.0,8.0,8.0,0,0,0,0,208,64,13.0277317,4.342577233,0.0,4344.0,1277.444444,1621.346594,2628764.778,1,2,0,2,7,0,0,0,0.0,1437.125,1865.333333,152.5,0.0,0.0,0.0,11497.0,5.0,65300.0,0.0,1399.0,0.0,38.0,64240,502,4,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,HTTP-Flood
