Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
23.1.1.2-23.1.0.10-80-47050-6,23.1.1.2,80,23.1.0.10,47050,6,23/05/2021 07:45:47 AM,108269.0,2,0,319.0,0.0,319.0,0.0,159.5,225.5670632,0.0,0.0,0.0,0.0,2946.365072,18.47250829,108269.0,0.0,108269.0,108269.0,108269.0,108269.0,0.0,108269.0,108269.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,52,0,18.47250829,0.0,0.0,319.0,212.6666667,184.17473590000003,33920.33333,0,0,1,1,1,0,0,0,0.0,319.0,159.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,159.0,0.0,0.0,502,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SlowBody
23.1.0.10-23.1.1.2-47032-80-6,23.1.0.10,47032,23.1.1.2,80,6,23/05/2021 08:11:26 AM,15488330.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25825896,5162776.666999999,6332523.5529999975,12500000.0,1003472.0,15500000.0,5162776.666999999,6332523.5529999975,12500000.0,1003472.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,160,0,0.25825896,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,64240,0,0,40,3037639.0,0.0,3037639.0,3037639.0,12500000.0,0.0,12500000.0,12500000.0,SlowBody
23.1.0.10-23.1.1.2-38384-80-6,23.1.0.10,38384,23.1.1.2,80,6,23/05/2021 07:47:43 AM,52528845.0,9,1,2000.0,0.0,400.0,0.0,222.2222222,210.8185107,0.0,0.0,0.0,0.0,38.07431898,0.190371595,5836538.333,12800000.0,39400000.0,8319.0,52500000.0,6566105.625,13400000.0,39400000.0,8319.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,312,40,0.171334435,0.0190371589999999,0.0,400.0,181.8181818,208.8931871,43636.36364,0,4,0,5,7,0,0,0,0.0,200.0,222.2222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,0.0,64240,65160,5,32,6703058.0,0.0,6703058.0,6703058.0,22900000.0,23400000.0,39400000.0,6396632.0,SlowBody
23.1.1.2-23.1.0.10-80-57566-6,23.1.1.2,80,23.1.0.10,57566,6,23/05/2021 07:52:02 AM,65422480.0,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.091711595,13100000.0,13300000.0,33800000.0,1125342.0,0.0,0.0,0.0,0.0,0.0,64300000.0,16100000.0,13300000.0,33800000.0,1937091.0,0,0,0,0,40,200,0.015285266,0.076426329,0.0,0.0,0.0,0.0,0.0,0,6,0,0,0,0,0,0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,64240,0,40,3062433.0,0.0,3062433.0,3062433.0,20800000.0,11500000.0,33800000.0,12400000.0,SlowBody
23.1.1.2-23.1.0.10-80-59280-6,23.1.1.2,80,23.1.0.10,59280,6,23/05/2021 08:03:21 AM,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0,0,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SlowBody
23.1.0.10-23.1.1.2-57300-80-6,23.1.0.10,57300,23.1.1.2,80,6,23/05/2021 07:36:49 AM,110561095.0,14,4,1914.0,486.0,319.0,0.0,136.71428569999998,163.8232765,486.0,0.0,121.5,243.0,21.70745505,0.162805913,6503593.824,9868484.99,34000000.0,4.0,97100000.0,7467589.922999999,10700000.0,34000000.0,11484.0,44900000.0,15000000.0,15800000.0,31500000.0,4.0,0,0,0,0,504,136,0.126626821,0.036179092,0.0,486.0,126.3157895,173.7821282,30200.22807,1,8,0,7,11,0,0,0,0.0,133.3333333,136.71428569999998,121.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106.0,0.0,27.0,64240,501,6,32,4960046.0,4235139.348,7651125.0,78269.0,19100000.0,10000000.0,34000000.0,8200068.0,SlowBody
23.1.0.10-23.1.1.2-39970-80-6,23.1.0.10,39970,23.1.1.2,80,6,23/05/2021 08:01:23 AM,3925.0,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,509.5541401,3925.0,0.0,3925.0,3925.0,3925.0,3925.0,0.0,3925.0,3925.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,64,0,509.5541401,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,501,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SlowBody
23.1.1.2-23.1.0.10-80-57676-6,23.1.1.2,80,23.1.0.10,57676,6,23/05/2021 08:05:23 AM,4.0,2,0,486.0,0.0,486.0,0.0,243.0,343.6538957,0.0,0.0,0.0,0.0,122000000.0,500000.0,4.0,0.0,4.0,4.0,4.0,4.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,64,0,500000.0,0.0,0.0,486.0,324.0,280.59223080000004,78732.0,1,0,0,1,2,0,0,0,0.0,486.0,243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,243.0,0.0,0.0,501,0,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SlowBody
23.1.1.2-23.1.0.10-80-41012-6,23.1.1.2,80,23.1.0.10,41012,6,23/05/2021 08:08:28 AM,64467640.0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.108581608,10700000.0,12100000.0,32900000.0,1005186.0,0.0,0.0,0.0,0.0,0.0,63500000.0,12700000.0,12500000.0,32900000.0,2105418.0,0,0,0,0,40,240,0.015511658,0.09306995,0.0,0.0,0.0,0.0,0.0,0,7,0,0,0,0,0,0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,64240,0,40,7309564.0,0.0,7309564.0,7309564.0,19100000.0,12600000.0,32900000.0,8164805.0,SlowBody
23.1.0.10-23.1.1.2-41384-80-6,23.1.0.10,41384,23.1.1.2,80,6,23/05/2021 08:00:56 AM,49932659.0,7,4,444.0,486.0,444.0,0.0,63.42857143,167.816226,486.0,0.0,121.5,243.0,18.62508464,0.2202967,4993265.9,8779210.76,24300000.0,12.0,31700000.0,5279205.5,9433950.672,24300000.0,2188.0,18300000.0,6111922.667,10500000.0,18200000.0,12.0,0,0,0,0,264,136,0.140188809,0.080107891,0.0,486.0,77.5,181.2223647,32841.54545,1,6,0,2,6,0,0,0,0.0,84.54545455,63.42857143,121.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,44.0,64240,501,1,32,3734648.0,4962294.371,7243520.0,225776.0,21200000.0,4305016.698,24300000.0,18200000.0,SlowBody
